"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
9,1,15,3,24.5259817678144,8.4956723744698
9,2,16,2,22.4019565361717,7.66014119671996
9,3,10,4,24.2558545624126,9.25077222240217
9,4,8,2,24.0413477850404,8.21437378602009
9,5,18,4,24.9627037939428,8.84304445091506
9,6,13,1,23.043373676657,8.704448967414
9,7,5,3,23.4122552612096,8.52138078886701
9,8,6,2,24.7275930497663,8.67367443481015
9,9,11,4,24.2950633999358,8.86635853373213
9,10,19,2,22.3566614322663,7.72010331925032
9,11,7,3,23.4857188396735,8.37683872295844
9,12,9,1,23.7873315615812,9.32692406118776
9,13,17,3,23.662091820094,8.33690922522653
9,14,13,2,23.0653320046564,7.90714231869305
9,15,3,3,23.8253881118867,8.66233886331543
9,16,4,2,24.2438759987491,8.81785909058692
9,17,14,3,24.1531069942696,8.27846718297286
9,18,18,1,22.5066451487705,8.54497444774137
9,19,10,3,23.5841102892068,7.92478508891663
9,20,8,2,24.0413477850404,8.21437378602009
9,21,20,3,23.5685847591281,8.22259387428187
9,22,12,2,22.9845858163594,7.99925874415738
9,23,6,4,24.2854487482487,8.96712692978699
9,24,5,1,23.6328358543982,8.69685840487895
9,25,12,3,23.7726848386868,8.30457478847505
9,26,18,2,22.4525696199319,7.59863354365644
9,27,8,3,22.8519330634785,8.1322765942362
9,28,10,2,24.0468389631375,8.62288695455827
9,29,16,4,25.0159352986534,8.86348276532167
9,30,15,2,22.5289659215377,7.77493271144645
9,31,2,3,24.1867291728591,8.50613905726762
9,32,2,2,25.1221315745038,8.00801631566183
9,33,15,4,24.9566826091457,8.80749609619419
9,34,16,1,22.0977110430249,8.52029350276177
9,35,10,3,23.5841102892068,7.92478508891663
9,36,8,1,23.6314687073011,8.98996030816952
9,37,18,3,24.0311746662035,8.41175287130353
9,38,12,2,22.9845858163594,7.99925874415738
9,39,4,4,24.6248679307126,8.96643940520522
9,40,6,2,24.7275930497663,8.67367443481015
9,41,12,3,23.7726848386868,8.30457478847505
9,42,19,2,22.3566614322663,7.72010331925032
9,43,7,4,24.4741573597964,9.05774733127436
9,44,9,2,24.5521345162501,8.40508352437572
9,45,17,3,23.662091820094,8.33690922522653
9,46,14,1,22.3231908223596,8.46256802122741
9,47,4,3,23.925521729526,8.70180182239101
9,48,3,1,24.7577791256574,8.25246887179966
9,49,14,3,24.1531069942696,8.27846718297286
9,50,17,2,22.325988245677,7.5559737623119
9,51,9,3,23.5125753199152,8.20451032964687
9,52,7,2,24.6947628524213,8.34768402472261
9,53,19,4,25.2517538542323,8.95606328231898
9,54,11,2,23.9100603691208,8.54207645822559
9,55,6,3,23.3501916858472,8.48369835138486
9,56,5,2,24.255381039036,8.59354259593317
9,57,13,3,23.9819474987529,8.34891456268452
9,58,19,1,22.3656319619639,8.36934470745048
9,59,9,3,23.5125753199152,8.20451032964687
9,60,11,1,23.5868820436188,9.06166645914244
9,61,17,3,23.662091820094,8.33690922522653
9,62,15,2,22.5289659215377,7.77493271144645
9,63,3,4,25.4177717694747,8.46393180328997
9,64,3,2,23.8033753420652,8.7163925689054
9,65,15,4,24.9566826091457,8.80749609619419
9,66,16,1,22.0977110430249,8.52029350276177
9,67,11,3,23.6173682308668,8.20653172082248
9,68,9,1,23.7873315615812,9.32692406118776
9,69,19,3,23.9420515192764,8.47675964758906
9,70,13,2,23.0653320046564,7.90714231869305
9,71,5,4,24.8099867157885,8.60769702709799
9,72,6,1,24.3109226926447,9.25416618807608
9,73,12,3,23.7726848386868,8.30457478847505
9,74,19,2,22.3566614322663,7.72010331925032
9,75,7,3,23.4857188396735,8.37683872295844
9,76,9,2,24.5521345162501,8.40508352437572
9,77,17,4,25.0347354475668,8.8477473861235
9,78,14,2,22.6659900565827,7.7795514856283
9,79,4,3,23.925521729526,8.70180182239101
9,80,4,2,24.2438759987491,8.81785909058692
9,81,14,3,24.1531069942696,8.27846718297286
9,82,17,2,22.325988245677,7.5559737623119
9,83,10,4,24.2558545624126,9.25077222240217
9,84,7,2,24.6947628524213,8.34768402472261
9,85,20,3,23.5685847591281,8.22259387428187
9,86,12,1,23.0690588466058,8.8957989428155
9,87,6,3,23.3501916858472,8.48369835138486
9,88,4,2,24.2438759987491,8.81785909058692
9,89,12,4,24.719316427014,9.01659053333489
9,90,18,2,22.4525696199319,7.59863354365644
9,91,8,3,22.8519330634785,8.1322765942362
9,92,10,1,23.6497051222174,9.20398782931471
9,93,16,3,24.1671207392461,8.41469337002369
9,94,14,2,22.6659900565827,7.7795514856283
9,95,2,4,25.9529039165459,8.88787837931642
9,96,3,1,24.7577791256574,8.25246887179966
9,97,15,3,24.5259817678144,8.4956723744698
9,98,16,2,22.4019565361717,7.66014119671996
9,99,10,4,24.2558545624126,9.25077222240217
9,100,8,2,24.0413477850404,8.21437378602009
18,1,15,6,16.3513455431745,6.74476890766316
18,2,16,3,10.7732251093056,4.1272599198329
18,3,10,9,19.4078128647676,8.85369890183093
18,4,8,4,13.1649893052331,5.28591834735764
18,5,18,8,18.7847118770013,9.18902608451947
18,6,13,1,10.6771083510612,4.39671997525741
18,7,5,7,18.5588256477533,7.81751165972771
18,8,6,4,13.5867018507712,5.05319832677971
18,9,11,8,18.5849123849172,9.13725088264554
18,10,19,3,10.6681332984585,4.17868386888664
18,11,7,5,13.4624341763101,5.07018587409317
18,12,9,2,10.8867656402657,4.08930976408383
18,13,17,6,16.1419811817004,6.88401359306673
18,14,13,5,13.1982929203261,5.14080845019946
18,15,3,7,17.8900648890182,8.00208967844373
18,16,4,5,14.2628549805396,5.93662422319463
18,17,14,7,18.4042141531013,8.54174907436725
18,18,18,2,10.5147080720475,3.83012913114773
18,19,10,6,15.7614337041344,6.63289285146712
18,20,8,3,10.3215062870494,3.6524028556623
18,21,20,5,12.9769118513551,5.66674999646354
18,22,12,4,12.0959304813407,5.087764352789
18,23,6,8,19.1361699942265,8.76222749121256
18,24,5,1,10.9284903427327,4.2157077881017
18,25,12,7,18.3271056201698,8.50799673433869
18,26,18,4,12.0009535154204,5.04220874543916
18,27,8,8,18.8172900837506,8.70701026288157
18,28,10,3,10.8290065093457,4.14480773780424
18,29,16,9,19.705324496624,9.06878270360093
18,30,15,2,10.5440793824921,3.87737531143798
18,31,2,6,17.6053482237526,6.42687214922975
18,32,2,3,11.259638137155,3.33844646240795
18,33,15,9,19.6779601487129,8.98065561691831
18,34,16,2,10.5835739882551,3.86832748210003
18,35,10,6,15.7614337041344,6.63289285146712
18,36,8,1,10.8404840791342,4.60530111548203
18,37,18,7,18.1774557668853,8.59925581515032
18,38,12,4,12.0959304813407,5.087764352789
18,39,4,8,19.3059682617074,8.35362118252024
18,40,6,3,10.527244740392,3.52048557908447
18,41,12,5,13.237107951594,5.3000589017109
18,42,19,4,11.9943160358399,5.11333372760611
18,43,7,8,19.020047701511,8.95170892748014
