"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
18,1,15,6,272.808332385117,187.888394164725
18,2,16,3,211.812368931063,156.363816149842
18,3,10,9,254.097599191488,179.26794372039
18,4,8,4,288.30132744994,210.808861646641
18,5,18,8,244.148778963895,179.772250318804
18,6,13,1,207.970254445022,151.764956995059
18,7,5,7,298.538518329847,211.933497388765
18,8,6,4,277.793629407841,198.154164786301
18,9,11,8,245.647699789861,173.016316090796
18,10,19,3,206.03479908253,155.398609177436
18,11,7,5,225.805236887802,170.077439466606
18,12,9,2,208.477318932509,169.014448073267
18,13,17,6,271.827258463573,187.268824685513
18,14,13,5,217.181379856584,156.953383661546
18,15,3,7,291.009421116385,215.907390276532
18,16,4,5,289.698429472308,217.15295044768
18,17,14,7,270.726402004051,199.127727848033
18,18,18,2,209.059659152112,162.435650809558
18,19,10,6,276.444886402102,195.775495558623
18,20,8,3,211.768892764409,152.59339234702
18,21,20,5,240.936193917054,179.874437634955
18,22,12,4,271.282435139789,205.256575922158
18,23,6,8,243.491544758786,175.349103921232
18,24,5,1,175.37220730037,152.9854444566
18,25,12,7,281.505003214078,206.035466150451
18,26,18,4,241.493346704568,187.384237073411
18,27,8,8,249.196273531539,180.592226060222
18,28,10,3,212.492170972324,157.827186359923
18,29,16,9,267.778316093398,190.418121476745
18,30,15,2,196.795317649353,158.255705383088
18,31,2,6,334.662427665114,261.687281977481
18,32,2,3,183.174497590617,144.255190550797
18,33,15,9,267.385951295931,189.987325344992
18,34,16,2,202.599961019418,162.95707073452
18,35,10,6,276.444886402102,195.775495558623
18,36,8,1,187.445751454164,150.350024136878
18,37,18,7,268.039698655829,192.859517049233
18,38,12,4,271.282435139789,205.256575922158
18,39,4,8,261.173543833985,185.098211388635
18,40,6,3,226.227607546278,162.986324130325
18,41,12,5,213.909564151504,154.554310101876
18,42,19,4,242.31075441987,186.471453725862
18,43,7,8,249.742694939042,180.454694063061
18,44,9,5,223.678601773451,164.148556486015
18,45,17,7,270.284642011321,195.920469688438
18,46,14,2,204.23338288456,164.072311178156
18,47,4,6,309.570579464703,229.187174669621
18,48,3,2,238.631329494871,203.813452714409
18,49,14,6,269.28577832345,190.802480485137
18,50,17,5,233.099228594278,171.716212098781
18,51,9,7,266.534017471088,189.016118365303
18,52,7,4,276.134699966355,197.791940394822
18,53,19,8,249.641045152679,186.931801600302
18,54,11,3,217.909098920665,159.947186614499
18,55,6,5,236.86997767456,182.250376899492
18,56,5,4,279.798151586164,193.212446196072
18,57,13,8,242.861242979661,176.249456219826
18,58,19,1,217.254795808466,159.141133718914
18,59,9,7,266.534017471088,189.016118365303
18,60,11,2,207.795470304069,173.732552021131
18,61,17,6,271.827258463573,187.268824685513
