"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
26,1,15,6,22.2491383608357,13.8025481003788
26,2,16,3,10.6847766222714,6.3825912058005
26,3,10,10,33.7438396610224,16.3989649167517
26,4,8,5,19.0023987323611,14.0485813451785
26,5,18,9,29.8740062155844,16.2573986370542
26,6,13,2,9.94494480989199,5.91905320801691
26,7,5,8,28.0413314414926,17.075959118656
26,8,6,4,13.7722557546303,8.95275299099848
26,9,11,9,30.0609135735038,15.8272370292793
26,10,19,3,10.9679147428785,6.83678281430347
26,11,7,6,20.398780735824,12.8291798285965
26,12,9,2,9.05426389808988,5.89246137765369
26,13,17,7,24.5562224518603,15.7015872832121
26,14,13,5,18.7191822623964,13.512677428443
26,15,3,8,28.0418609420114,19.8691698615225
26,16,4,5,20.2713846776814,15.1256442432765
26,17,14,8,27.9297093425182,16.4248809734893
26,18,18,2,9.79504426681915,5.74255253252371
26,19,10,7,23.9536688759924,15.8411116825438
26,20,8,3,9.61235366886941,6.55329290281194
26,21,20,6,22.4198100508638,14.782254494919
26,22,12,4,13.8665624074209,8.70522739691616
26,23,6,9,30.0534171403026,15.3718091514189
26,24,5,1,10.5052543177459,5.35759985506325
26,25,12,7,24.1138023891057,15.365705413912
26,26,18,4,14.2115451497141,9.44415564391502
26,27,8,8,27.4547540278328,17.0160353297284
26,28,10,4,14.5611756570216,8.96391291596316
26,29,16,10,33.7781745073847,16.1638758061403
26,30,15,3,10.6630109611815,6.38548959178792
26,31,2,7,28.1609207859206,18.8269511738828
26,32,2,3,8.72466389925928,6.12562125991332
26,33,15,10,33.6330298114759,15.6748509120692
26,34,16,2,9.7912833799286,5.64224087655978
26,35,10,6,20.3704247258247,12.6111265350853
26,36,8,1,12.7149158932355,6.6433557158798
26,37,18,8,28.0942308574414,16.6894106845344
26,38,12,5,18.8167858811219,13.3816551439497
26,39,4,9,30.6427736422147,15.541372031701
26,40,6,3,8.99111526681076,6.37807137585215
26,41,12,6,21.3190705691359,13.9148931834164
26,42,19,4,14.1490330341548,9.39554320328844
26,43,7,9,29.9557588564209,16.539686020705
26,44,9,5,19.060599582131,13.9425751740085
26,45,17,8,28.3643908267775,16.5836064678589
26,46,14,2,10.0509615477398,5.87798645694597
26,47,4,7,24.563243264465,16.9810005833509
26,48,3,2,12.2049422779602,9.15589745855285
26,49,14,7,25.0670793997022,15.6220936293039
26,50,17,5,19.024177424442,13.2863871035218
26,51,9,8,27.7791997777837,17.7630085575414
26,52,7,4,14.1717303488881,8.7942573551644
26,53,19,9,29.8586638071148,16.5667441519499
26,54,11,3,10.1395854927108,6.26793241996402
26,55,6,6,19.949799540663,12.2320106952603
26,56,5,5,19.74365328163,15.1458534903034
26,57,13,8,27.9753251470506,16.653288696003
26,58,19,1,10.4575133994211,5.13739354563086
26,59,9,7,23.4478435792408,15.8770132162526
26,60,11,2,9.31790704865875,5.28094054300986
26,61,17,6,22.2904132741108,14.0027244385402
26,62,15,4,14.0525177755861,8.99557297775938
26,63,3,10,35.0481126307285,16.0102699289217
26,64,3,5,19.8053217981213,13.4671066460978
26,65,15,9,29.9901396273971,15.6872623107303
26,66,16,1,10.7346774189736,5.66885040533929
26,67,11,7,23.8385263810619,16.3178693862519
26,68,9,2,9.05426389808988,5.89246137765369
26,69,19,6,22.4219952207311,14.6313294380288
26,70,13,3,9.9275608427535,5.83275892046485
26,71,5,10,33.8206711159334,16.7233678917782
26,72,6,2,10.9597938217447,7.64956507215954
26,73,12,7,24.1138023891057,15.365705413912
26,74,19,5,19.2121043932418,13.0943533832783
26,75,7,8,27.9885239035283,17.6218454490546
26,76,9,4,14.7166172166838,9.22617076681354
26,77,17,9,30.1126749887679,16.1548322843564
26,78,14,3,10.249172019978,5.87172875775675
26,79,4,6,22.1489375773732,13.5045738222127
26,80,4,3,8.77281799929536,5.96510643529079
26,81,14,6,21.5243211744275,14.2508011625106
26,82,17,4,14.1128047913174,9.44959903870656
26,83,10,9,30.2869480773704,16.1425940077688
26,84,7,5,19.758252911784,15.1348734754269
26,85,20,8,27.9839339399178,16.0580244430373
26,86,12,2,9.49880102020102,5.52240053869801
26,87,6,7,25.0665694266456,16.3336456594577
26,88,4,4,13.8643149765669,7.91706165897515
26,89,12,10,33.9293537014382,16.3838754355033
26,90,18,3,11.1143211721619,7.10766059253077
26,91,8,6,20.2443959079723,12.997396859041
26,92,10,1,12.2017625300512,6.53121335379064
26,93,16,7,24.8206318183397,16.0176423832598
26,94,14,5,18.9131764142007,13.911009027414
26,95,2,9,30.1238355709797,18.4357587701135
26,96,3,1,9.46133624836715,5.9045804475518
26,97,15,8,27.9459891647668,16.3775422702354
26,98,16,5,19.0448140154514,13.214819879256
26,99,10,9,30.2869480773704,16.1425940077688
26,100,8,3,9.61235366886941,6.55329290281194
52,1,15,6,5.91087319128448,5.51715426666335
52,2,16,3,3.1624697898947,2.23536767484186
52,3,10,10,18.3770583372631,25.3659114323641
52,4,8,5,3.66354731119335,2.54091634489152
52,5,18,9,16.6566680888139,22.2062806819152
52,6,13,2,2.71815142073049,1.63525798395395
52,7,5,8,11.8722508312313,14.7253305497499
52,8,6,4,2.78379593833378,1.5961100075682
52,9,11,9,17.1600059976908,23.1212942636428
52,10,19,3,3.10334063239777,2.10141629917675
52,11,7,6,4.79569667118712,3.73024255022545
52,12,9,2,2.7318747398124,1.64785211353232
52,13,17,7,7.04658414297813,6.94801284477866
52,14,13,5,3.96124516001962,2.92112061557852
52,15,3,8,10.8626201756237,13.0009182325599
52,16,4,5,4.55755467398964,4.12777381652988
52,17,14,8,11.6783511733846,14.2295942027797
52,18,18,2,2.54412021727709,1.54291925829432
52,19,10,7,8.14924045421199,8.63127945128555
52,20,8,3,2.84081630347685,1.86339753780481
52,21,20,6,5.65720575824792,5.21226345147333
52,22,12,4,3.13173360945831,1.93001955478952
52,23,6,9,17.3677843750356,23.5259732758175
52,24,5,1,2.74453095535924,1.72947228066178
52,25,12,7,8.03120117710864,8.47203507374989
52,26,18,4,2.88728653597235,1.58161226778855
52,27,8,8,10.7872705959322,12.7294144254603
52,28,10,4,3.0406057457435,1.79539115126747
52,29,16,10,18.3246236760713,25.0937246709241
52,30,15,3,3.22751725019166,2.36302460453899
52,31,2,7,9.12263464844147,9.99786116279164
52,32,2,3,3.98570694657303,3.64109996224983
52,33,15,10,18.2661680781149,24.9706721662533
52,34,16,2,2.61223114664121,1.6389465389082
52,35,10,6,4.82451281227643,3.6991180509426
52,36,8,1,2.51055328876831,1.43375658687655
52,37,18,8,11.8906815966595,14.6857990435918
52,38,12,5,4.09244960998082,3.12670149436088
52,39,4,9,15.7656277128877,20.8856636199075
52,40,6,3,3.12656026468876,2.27243792531891
52,41,12,6,5.3626399440496,4.64417956063024
52,42,19,4,2.84900750228161,1.54880136238492
52,43,7,9,17.3326318013814,23.6248871429056
52,44,9,5,3.51286273500429,2.32277444067915
52,45,17,8,11.5596899914615,14.1088988507437
52,46,14,2,2.65531637405791,1.57721979513525
52,47,4,7,9.30931822860444,10.6789947591201
52,48,3,2,3.29518821671592,2.63863291374777
52,49,14,7,7.74047510202043,7.99093144079861
52,50,17,5,4.25177213816227,3.37581867733586
52,51,9,8,10.5045778278894,12.3179110948485
52,52,7,4,2.98055764621647,1.72214136529479
52,53,19,9,16.7549384424704,22.3765089758872
52,54,11,3,2.63372539178247,1.55169965467072
52,55,6,6,4.27408034670651,2.93142604051205
52,56,5,5,4.08308571717952,3.34238779869729
52,57,13,8,11.7986388245118,14.4077854126285
52,58,19,1,2.57702850509405,1.4589941677442
52,59,9,7,7.96643787944425,8.36391688552728
52,60,11,2,2.58421356896807,1.48654573001919
52,61,17,6,5.49074077035663,4.88656627955449
52,62,15,4,3.0211224117231,1.72831405994125
52,63,3,10,15.6299160181344,20.4820986717646
52,64,3,5,3.41298419697931,2.41659005454577
52,65,15,9,17.386529673401,23.4681885762159
52,66,16,1,2.63154795605134,1.56401629467824
52,67,11,7,8.3395958256055,8.97073912930205
52,68,9,2,2.7318747398124,1.64785211353232
52,69,19,6,5.54462913332709,5.03917323386098
52,70,13,3,2.97201824156899,1.8833531982485
52,71,5,10,16.8092062046928,22.7494335788601
52,72,6,2,2.66626504621073,1.68826498411812
52,73,12,7,8.03120117710864,8.47203507374989
52,74,19,5,4.16071837388566,3.20029900861461
52,75,7,8,11.338622306109,13.7054740279814
52,76,9,4,2.82756957645989,1.54261313422066
52,77,17,9,16.5529020574717,22.0356535565766
52,78,14,3,3.10015146205331,2.13950339023014
52,79,4,6,4.69243018805803,3.51954676548078
52,80,4,3,3.7062975339102,3.26830502789793
52,81,14,6,5.97357566746175,5.55485355642463
52,82,17,4,2.94509566839882,1.62811749537337
52,83,10,9,17.2980552972923,23.316202141266
52,84,7,5,3.57471432065944,2.50843150799012
52,85,20,8,12.0906984618113,14.978811351917
52,86,12,2,2.75547246987359,1.70708279711267
52,87,6,7,7.33357426687745,7.66910315210371
52,88,4,4,3.02248946793397,2.00914849710331
52,89,12,10,18.6620888784289,25.4484250444001
52,90,18,3,3.17244643512615,2.20268474764289
52,91,8,6,4.89454368022844,3.92816538263302
52,92,10,1,2.40896089930747,1.36320984546244
52,93,16,7,7.34760181258256,7.39606022089125
52,94,14,5,4.06474515125517,3.09200641576495
52,95,2,9,13.3665198928744,17.310354303425
52,96,3,1,3.18457898682155,2.42071259521414
52,97,15,8,11.7960232701173,14.4478448710665
52,98,16,5,4.17486389122155,3.26647494524056
52,99,10,9,17.2980552972923,23.316202141266
52,100,8,3,2.84081630347685,1.86339753780481
78,1,15,6,1.74052445198123,0.893288279604056
78,2,16,3,1.5440605958185,1.02370725854871
78,3,10,10,2.47778227027745,1.18443950459487
78,4,8,5,1.64298605101666,0.937239742970719
78,5,18,9,2.36914361938807,1.13032652189835
78,6,13,2,1.51482921443368,1.05486382580775
78,7,5,8,2.16736933365352,0.938476255558685
78,8,6,4,1.63477825975089,1.02399452867975
78,9,11,9,2.38503976340298,1.13445953918667
78,10,19,3,1.53745043427626,1.01551937114016
78,11,7,6,1.88147051630064,0.883551151634167
78,12,9,2,1.54055918327581,1.12809816176202
78,13,17,7,1.91727544538613,0.865354629533399
78,14,13,5,1.60905957813596,0.960317876890412
78,15,3,8,2.16984129024419,0.923302286814801
78,16,4,5,1.72933250454961,0.924041544602962
