"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
11,1,15,3,5.06046888943592,1.95022675024887
11,2,16,2,4.96989640786734,1.86679421976414
11,3,10,5,5.68180877068446,1.98760199164706
11,4,8,3,5.34994596042644,1.87136014549358
11,5,18,4,5.39537206580241,2.0014315271047
11,6,13,1,4.90864697627601,1.90704423864884
11,7,5,4,5.44917188621249,1.92833315028615
11,8,6,2,5.35408643740376,1.81447777991905
11,9,11,5,5.58232987604934,1.97552700282178
11,10,19,2,4.94178665797585,1.91574022617516
11,11,7,3,5.47059218168568,1.86096899169589
11,12,9,1,5.19102594421295,1.94833230809988
11,13,17,4,5.40375133937534,1.98381692489778
11,14,13,3,5.11958300401539,1.93689743897275
11,15,3,4,5.61732454747966,1.8077652491771
11,16,4,3,5.35485547922349,1.91225874348058
11,17,14,4,5.3906629452993,1.98210090240033
11,18,18,1,4.90766922730998,1.88812009938441
11,19,10,4,5.41821825348343,1.94448916536322
11,20,8,2,5.31128990726241,1.85735883966088
11,21,20,3,4.98377236795611,2.00289798883012
11,22,12,2,5.10268919624187,1.85495182574219
11,23,6,5,5.88310434893845,2.01688236132048
11,24,5,1,5.37172998551369,1.9842578140894
11,25,12,4,5.35863816755591,1.99681392975618
11,26,18,3,5.04054684186775,1.99693597611371
11,27,8,4,5.43516296188677,1.93164341917759
11,28,10,2,5.14436204443327,1.84604172001406
11,29,16,5,5.53510787487502,2.03250358592222
11,30,15,2,5.00533724191768,1.85128810390677
11,31,2,3,5.95903490055266,1.80452734950185
11,32,2,2,6.00650944628209,1.78477701498921
11,33,15,5,5.63545081772238,2.01178568172703
11,34,16,2,4.96989640786734,1.86679421976414
11,35,10,3,5.22691973047457,1.919744831564
11,36,8,1,5.29765316390564,1.95305638473347
11,37,18,4,5.39537206580241,2.0014315271047
11,38,12,3,5.14586482572554,1.9602731298851
11,39,4,4,5.48210216196963,1.86316414065829
11,40,6,2,5.35408643740376,1.81447777991905
11,41,12,3,5.14586482572554,1.9602731298851
11,42,19,2,4.94178665797585,1.91574022617516
11,43,7,5,5.81892653914017,2.04983854450129
11,44,9,3,5.2508632354206,1.89081531037138
11,45,17,4,5.40375133937534,1.98381692489778
11,46,14,1,4.86764405688484,1.90540171105705
11,47,4,4,5.48210216196963,1.86316414065829
11,48,3,1,5.53296816831662,1.9596346125139
11,49,14,4,5.3906629452993,1.98210090240033
11,50,17,3,5.06208057676513,1.9757456374496
11,51,9,4,5.45236271393492,1.93290774839734
11,52,7,2,5.33223861485543,1.81956081775077
11,53,19,5,5.48958406998635,2.05575296313783
11,54,11,2,5.11658760228485,1.86608875891748
11,55,6,3,5.55349591635779,1.88566763986009
11,56,5,3,5.48165202391704,1.89071390347681
11,57,13,4,5.33822741163453,2.00116184761488
11,58,19,1,4.93080753231617,1.883541788312
11,59,9,4,5.45236271393492,1.93290774839734
11,60,11,2,5.11658760228485,1.86608875891748
11,61,17,3,5.06208057676513,1.9757456374496
11,62,15,2,5.00533724191768,1.85128810390677
11,63,3,5,5.74276464936301,1.97083622137967
11,64,3,3,5.75091712931656,1.87876653098188
11,65,15,4,5.3822022140512,1.96445837932697
11,66,16,1,4.87650765822869,1.88185949991358
11,67,11,4,5.41884347920244,1.98016221353621
11,68,9,2,5.16749091117892,1.83606724534027
11,69,19,3,5.04546550096313,2.01473455524825
11,70,13,2,5.05800915232165,1.85809877912468
11,71,5,5,5.90643536982957,1.98844124730447
11,72,6,1,5.40614172548941,1.97064760438377
11,73,12,4,5.35863816755591,1.99681392975618
11,74,19,3,5.04546550096313,2.01473455524825
11,75,7,4,5.42888878971308,1.92522459624902
11,76,9,2,5.16749091117892,1.83606724534027
11,77,17,5,5.53180069851941,2.03811814984372
11,78,14,2,5.02339637014345,1.85182940381066
11,79,4,3,5.35485547922349,1.91225874348058
11,80,4,2,5.48033745747709,1.83062084020864
11,81,14,3,5.0896614127819,1.95510592122224
11,82,17,2,4.94785668016077,1.87278184607382
11,83,10,5,5.68180877068446,1.98760199164706
11,84,7,3,5.47059218168568,1.86096899169589
11,85,20,4,5.37997717356667,2.00907283164043
11,86,12,1,4.97593316453116,1.92584467897637
11,87,6,4,5.45502313540696,1.93697049040113
11,88,4,2,5.48033745747709,1.83062084020864
11,89,12,5,5.62617001627807,1.96493877409716
11,90,18,2,4.9633377968727,1.88643520703325
11,91,8,3,5.34994596042644,1.87136014549358
11,92,10,1,5.03819612531784,1.92829265802462
11,93,16,4,5.38665361232129,2.00084536730527
11,94,14,3,5.0896614127819,1.95510592122224
11,95,2,4,6.02209895353244,1.79126599915829
11,96,3,1,5.53296816831662,1.9596346125139
11,97,15,4,5.3822022140512,1.96445837932697
11,98,16,3,5.06976350116489,1.9689935166472
11,99,10,4,5.41821825348343,1.94448916536322
11,100,8,2,5.31128990726241,1.85735883966088
22,1,15,6,4.51650546691843,1.88990043717471
22,2,16,3,4.02131566624317,1.82980277845673
22,3,10,10,5.17276992334235,2.22355866505775
22,4,8,5,4.38747379087234,1.7469591188944
22,5,18,9,5.06626241778087,2.17475705139133
22,6,13,2,4.09782633344159,1.70087469804653
22,7,5,8,4.92894451544597,2.10954059735387
22,8,6,4,4.26202498230028,1.7263520356488
22,9,11,9,5.11559548404006,2.18185414691925
22,10,19,3,4.02672679498127,1.85010331187014
22,11,7,6,4.73703741347571,1.83372260812596
22,12,9,2,4.22520167587639,1.73914507731967
22,13,17,7,4.77842251452264,2.04629339628138
22,14,13,5,4.17990191226774,1.80539746032309
22,15,3,8,5.18235809530436,2.15965366535914
22,16,4,5,4.63019687477378,1.74652793630431
22,17,14,8,4.86249685868555,2.06759470850949
22,18,18,2,3.9856685495324,1.75576223628346
22,19,10,7,4.72966994484217,2.03436751147788
22,20,8,3,4.11134213127681,1.76038031076645
22,21,20,6,4.48871551414667,1.92003840048436
22,22,12,4,4.21305100868039,1.76767674615718
22,23,6,9,5.11006663801665,2.27479429608692
22,24,5,1,4.24386303635219,1.64524564075684
22,25,12,7,4.77704564667535,2.05359871808115
22,26,18,4,4.14735368540355,1.74827946073777
22,27,8,8,4.83197199587588,2.08746761387969
22,28,10,4,4.18982636765672,1.80599215770974
22,29,16,10,5.10680696447712,2.20389009819804
22,30,15,3,4.0254616682437,1.82689406299746
22,31,2,7,5.15199910515879,1.92969487000754
22,32,2,3,4.84374363859739,1.55103604932176
22,33,15,10,5.12193388915809,2.19789927286523
22,34,16,2,4.05801488939646,1.70966048981612
22,35,10,6,4.59547675484901,1.81918109166167
22,36,8,1,3.9343327935377,1.5926411195084
22,37,18,8,4.84542904474412,2.10874838360633
22,38,12,5,4.1942968750648,1.80094879855882
22,39,4,9,5.2669650263676,2.22316088028247
