"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
39,1,15,6,4.64574578670657,2.01734599436626
39,2,16,3,4.71873219721478,1.93890014179195
39,3,10,10,4.66550405991101,2.14160841619347
39,4,8,5,4.67802731837153,2.0215026088754
39,5,18,9,4.61717641584206,2.1076656120921
39,6,13,2,4.70396602252181,1.95632346838505
39,7,5,8,4.77871799668589,2.11245202016969
39,8,6,4,4.74649623058811,1.96475294969071
39,9,11,9,4.63645281739413,2.08302485662372
39,10,19,3,4.70828246379765,1.95328807313101
39,11,7,6,4.70211979623723,2.01484420168857
39,12,9,2,4.7227068526444,1.97630217520329
39,13,17,7,4.62513039786974,2.01695381009139
39,14,13,5,4.63966506122308,2.02466162539313
39,15,3,8,4.85239704713084,2.04239661485608
39,16,4,5,4.83190146417733,1.95497191707816
39,17,14,8,4.69618101773113,2.10833880542394
39,18,18,2,4.71068652634042,1.9655743296834
39,19,10,7,4.72137651815864,1.9934400895753
39,20,8,3,4.80792672182664,1.8861990085455
39,21,20,6,4.64418416186455,2.02768368637262
39,22,12,4,4.68677751460606,1.98534748418384
39,23,6,9,4.67716989423831,2.035641283126
39,24,5,1,4.87873573039593,1.93863029806856
39,25,12,7,4.6810503405504,1.99956429945849
39,26,18,4,4.65307007771779,2.00989533914751
39,27,8,8,4.71414644716245,2.11306867766788
39,28,10,4,4.69146555984209,1.97726586916104
39,29,16,10,4.62501963300093,2.12887923691037
39,30,15,3,4.7202144686539,1.94625351094601
39,31,2,7,4.99826180113555,1.88903818501955
39,32,2,3,5.11716056554922,1.84292195819355
39,33,15,10,4.626754815639,2.12865626575401
39,34,16,2,4.70518246101513,1.95039784875471
39,35,10,6,4.66317714350642,2.02975856156468
39,36,8,1,4.78650725370315,1.96962656004517
39,37,18,8,4.66622850760751,2.10241006368936
39,38,12,5,4.64477114289289,2.03171528608211
39,39,4,9,4.81474032300977,1.9479614184999
39,40,6,3,4.85508349317276,1.8758072475584
39,41,12,6,4.65448831725957,2.03175605885477
39,42,19,4,4.64717000181937,2.01620301052719
39,43,7,9,4.66682961192267,2.03255093442228
39,44,9,5,4.67033957714922,2.02902381382789
39,45,17,8,4.6691629260139,2.10553608919703
39,46,14,2,4.70027818438437,1.94910561805686
39,47,4,7,4.80054260149967,1.97493296473459
39,48,3,2,4.88183688192258,1.9141428842043
39,49,14,7,4.65796025323408,2.01204652807631
39,50,17,5,4.62034844746815,2.04341688444685
39,51,9,8,4.70593887026832,2.09840701963853
39,52,7,4,4.71767417023006,1.97486092518148
39,53,19,9,4.61141240396568,2.10506945126876
39,54,11,3,4.7523912592586,1.90570650316361
39,55,6,6,4.72804934424468,2.02276958432292
39,56,5,5,4.8008009659366,1.98242248583657
39,57,13,8,4.71037036062208,2.09814266041259
39,58,19,1,4.65469587063412,1.99086595211362
39,59,9,7,4.73596110604473,1.98685864341807
39,60,11,2,4.72007046852221,1.9608296866458
39,61,17,6,4.64600353154674,2.02193719965151
39,62,15,4,4.6799783305082,2.00685195404295
39,63,3,10,4.70384028817207,2.12352665029143
39,64,3,5,4.87016214220997,1.88903372482243
39,65,15,9,4.62290070672842,2.09957514125223
39,66,16,1,4.69218243019524,1.97754740973737
39,67,11,7,4.68878166843268,1.99140499197423
39,68,9,2,4.7227068526444,1.97630217520329
39,69,19,6,4.64149411912593,2.02870645491207
39,70,13,3,4.74673713667656,1.93091236444281
39,71,5,10,4.62078283907098,2.17408034759207
39,72,6,2,4.70987991994159,1.99917259848341
39,73,12,7,4.6810503405504,1.99956429945849
39,74,19,5,4.60555119268019,2.05950672063549
39,75,7,8,4.74722136823143,2.1054784697609
39,76,9,4,4.69636231107664,1.96616822906832
39,77,17,9,4.62086040618146,2.11126649598207
39,78,14,3,4.72838120862094,1.94351321126564
39,79,4,6,4.79825089545146,2.00959077078308
39,80,4,3,4.95321657807676,1.88511970916221
39,81,14,6,4.64786211569675,2.03467383352143
39,82,17,4,4.66417208802655,2.00924038701189
39,83,10,9,4.63715338310273,2.07327510490725
39,84,7,5,4.70618113574761,2.01138019587106
39,85,20,8,4.66349198529154,2.09709040336941
39,86,12,2,4.71829653826923,1.94780834507029
39,87,6,7,4.76012797034359,1.96908582580789
39,88,4,4,4.78794425380279,1.90731526920226
39,89,12,10,4.62437312903386,2.13817005576617
39,90,18,3,4.70910203583625,1.95307029210164
39,91,8,6,4.68417380306256,2.01834660192699
39,92,10,1,4.72608083286213,1.973933576675
39,93,16,7,4.63056196521853,2.01561277449516
39,94,14,5,4.64200838942386,2.03056344413288
39,95,2,9,4.97011190453442,1.91544160654634
39,96,3,1,5.10532939568252,1.87718367807737
39,97,15,8,4.68410723136612,2.10885211708324
39,98,16,5,4.63532497799817,2.0397033393924
39,99,10,9,4.63715338310273,2.07327510490725
39,100,8,3,4.80792672182664,1.8861990085455
78,1,15,6,4.26482997202539,1.80304041263373
78,2,16,3,4.25866642598048,1.7529687797701
78,3,10,10,4.36676355237202,1.86155864660863
78,4,8,5,4.33634132484852,1.83363424535066
78,5,18,9,4.28233236578548,1.87349472760741
78,6,13,2,4.24239778238166,1.76319200229381
78,7,5,8,4.43408846478386,1.74855419070157
78,8,6,4,4.37524092844379,1.74991969128789
78,9,11,9,4.32653783778462,1.86608610382247
78,10,19,3,4.24109835361791,1.76658324786594
78,11,7,6,4.27003662424733,1.76854361323621
78,12,9,2,4.29466138876169,1.72075114444345
78,13,17,7,4.29148455445422,1.82465912920511
78,14,13,5,4.30257705093886,1.84082658863954
78,15,3,8,4.61863007093355,1.74022524662567
78,16,4,5,4.41589779196654,1.75841125021601
78,17,14,8,4.32420248893469,1.86317668520361
78,18,18,2,4.22541083578142,1.76204088447611
78,19,10,7,4.35284252263521,1.79054205275215
78,20,8,3,4.34700697589676,1.71000426431995
78,21,20,6,4.23535395404053,1.81054008255402
78,22,12,4,4.27823595740681,1.74804338120326
78,23,6,9,4.39007489979363,1.85552340149123
78,24,5,1,4.48217395333072,1.69438869750443
78,25,12,7,4.3386797629102,1.80570315669735
78,26,18,4,4.24676592980685,1.78037258920464
78,27,8,8,4.35873554309258,1.81526152598452
78,28,10,4,4.29670318679378,1.75195808020578
78,29,16,10,4.31487235172207,1.86733655111377
78,30,15,3,4.27322148249399,1.75624950909818
78,31,2,7,4.86032574828328,1.72300553685195
78,32,2,3,4.88402027763463,1.65849941016675
78,33,15,10,4.32290369000143,1.86733883885103
78,34,16,2,4.21941444335642,1.76786313292595
78,35,10,6,4.284377832636,1.79579778679689
78,36,8,1,4.33800039405571,1.73367912589123
78,37,18,8,4.30429024859531,1.87976116710805
78,38,12,5,4.31275955315422,1.84357261008582
