"SamplingSize","SobolSampleID","ntree","minbucket","MeanRowsError","SdRowsError"
16,1,15,5,12.4142654304146,3.83994706207127
16,2,16,3,10.7775332574879,3.80810126971216
16,3,10,8,15.6718203840738,4.9047411216517
16,4,8,4,10.9803770130962,4.33684220373039
16,5,18,7,14.3479090972266,4.32169068258584
16,6,13,1,11.1929688259033,3.56167454447592
16,7,5,6,15.6866876717517,4.25966508638307
16,8,6,3,11.7634894036242,3.52054906538144
16,9,11,7,13.6076643864958,4.37373177859647
16,10,19,2,11.6317307639949,3.57661526570541
16,11,7,5,13.4860725068534,3.91675615621648
16,12,9,2,11.7294570350395,3.28588145450562
16,13,17,6,14.2954076781136,4.08448872665708
16,14,13,4,10.855624271779,4.207351996402
16,15,3,7,14.5421466552443,4.61239834323382
16,16,4,4,11.9644065517179,3.89349794394455
16,17,14,6,15.0475473999569,4.20672634163227
16,18,18,1,11.0997395963938,3.50500089243736
16,19,10,5,12.833456648084,3.86904819048957
16,20,8,3,11.9506583652588,3.79776788398661
16,21,20,5,12.1299545716008,3.98705149844118
16,22,12,4,11.0403303571224,4.163483611711
16,23,6,7,14.8500003483193,4.62475687820561
16,24,5,1,12.3393581900931,3.57509834954007
16,25,12,6,14.6891032316895,4.02810536749419
16,26,18,4,10.6121242780643,4.30117845372961
16,27,8,7,14.3645949028745,4.51035545321589
16,28,10,3,11.4374076765854,3.82233857320282
16,29,16,8,15.7245185563173,4.70032062227403
16,30,15,2,11.4683596162498,3.41768637078582
16,31,2,5,16.0430221111162,4.39122912049118
16,32,2,3,16.430195894882,4.99195898522935
16,33,15,8,15.9525835127335,4.86392519200494
16,34,16,2,11.4146868498467,3.52503896644888
16,35,10,5,12.833456648084,3.86904819048957
16,36,8,1,11.8355987221562,3.48647971331699
16,37,18,6,14.0850468333842,4.01124104320075
16,38,12,4,11.0403303571224,4.163483611711
16,39,4,7,13.9179714201476,4.84549581018821
16,40,6,3,11.7634894036242,3.52054906538144
16,41,12,5,12.5729507777163,3.86315810630758
16,42,19,3,10.6217355490266,3.92252979047739
16,43,7,7,14.2956406052052,4.29203458833045
16,44,9,4,11.068849772328,4.3121393737201
16,45,17,7,14.2483841772223,4.34471518076042
16,46,14,2,11.6447220144405,3.39277997044288
16,47,4,6,15.1983536574078,4.17189695571883
16,48,3,2,13.6756444662183,3.96982467697612
16,49,14,5,12.5256596451811,3.82904951867141
16,50,17,4,10.638719143337,4.20216120787983
16,51,9,6,14.9170360360846,4.00978187944867
16,52,7,3,11.8126509718933,3.7039837308181
16,53,19,7,14.3424043019254,4.28644300528843
16,54,11,3,11.2264103009207,3.82576155288668
16,55,6,5,13.4175568070899,3.73637660096664
16,56,5,4,11.3221721520691,4.01464173720174
16,57,13,7,13.6688281170332,4.38650321322833
16,58,19,1,10.9359092358631,3.51242208553532
16,59,9,6,14.9170360360846,4.00978187944867
16,60,11,2,11.8721324568621,3.34221581068159
16,61,17,5,12.3884423757595,3.85281239224137
16,62,15,3,10.7013013435054,3.84416500303496
16,63,3,8,15.3774030899302,5.13281263531772
16,64,3,4,11.82459164881,3.76134025156961
16,65,15,7,14.1885492179324,4.35647593232146
16,66,16,1,11.3675777846771,3.50744682169378
16,67,11,6,14.7159006131956,3.99285240390566
16,68,9,2,11.7294570350395,3.28588145450562
16,69,19,5,12.2179822340172,3.92097659077537
16,70,13,3,10.8124560724083,3.89932963559927
16,71,5,8,16.1493779340591,5.53163822038688
16,72,6,2,12.3364441717593,3.43164404891444
16,73,12,6,14.6891032316895,4.02810536749419
