"","system","SamplingSize","cart_best","bagg_best","frst_best","esvr_best","cart_avg","bagg_avg","frst_avg","esvr_avg","cart_wrst","bagg_wrst","frst_wrst","esvr_wrst"
"1","Apache","N","21.86","22.10","19.80","31.81","24.70","23.76","23.35","33.35","27.52","25.95","30.33","34.30"
"2","Apache","2*N","13.21","10.32","14.84","21.93","20.00","14.58","19.99","23.80","29.01","19.90","29.65","25.04"
"3","Apache","3*N","8.72","7.39","7.88","19.44","15.22","10.81","13.21","22.41","20.62","17.72","22.74","24.39"
"4","Apache","4*N","8.02","6.61","6.71","19.55","12.86","8.00","10.72","22.71","19.18","11.85","23.47","24.83"
"5","Apache","5*N","7.33","6.20","6.38","17.10","10.00","7.29","9.40","20.69","15.51","9.43","15.66","23.43"
"6","BerkeleyC","N","135.12","140.38","179.67","212.37","268.34","245.16","265.61","472.22","575.80","334.66","381.78","650.45"
"7","BerkeleyC","2*N","30.66","62.60","40.86","125.82","117.30","95.36","140.71","387.36","169.56","148.69","233.29","605.68"
"8","BerkeleyC","3*N","10.05","22.12","22.34","97.60","109.50","54.43","95.81","345.84","143.96","96.53","235.99","581.10"
"9","BerkeleyC","4*N","6.41","8.06","11.29","92.90","67.77","27.26","47.10","299.46","110.70","75.05","140.48","526.02"
"10","BerkeleyC","5*N","2.78","8.09","7.35","89.40","47.40","16.87","35.17","271.11","94.67","38.97","107.78","499.85"
"11","BerkeleyJ","N","6.69","8.72","6.08","30.82","23.80","20.08","19.59","32.40","36.96","35.05","44.19","33.09"
"12","BerkeleyJ","2*N","2.01","2.41","1.97","28.90","6.98","7.19","6.63","31.93","20.10","18.66","24.42","33.43"
"13","BerkeleyJ","3*N","1.76","1.50","1.67","26.13","2.69","1.86","2.81","30.49","2.98","2.50","8.28","32.59"
"14","BerkeleyJ","4*N","1.50","1.49","1.50","24.63","2.64","1.64","2.20","30.00","3.00","2.10","10.11","32.77"
"15","BerkeleyJ","5*N","1.54","1.40","1.25","21.65","2.39","1.49","1.78","28.22","2.85","1.65","4.26","31.62"
"16","LLVM","N","5.08","4.87","4.74","4.04","5.72","5.32","5.11","5.37","5.96","6.02","5.98","6.76"
"17","LLVM","2*N","4.18","3.78","3.80","2.64","5.13","4.56","4.71","4.30","5.72","5.47","5.76","6.23"
"18","LLVM","3*N","3.13","3.26","2.91","2.47","4.48","3.83","3.81","4.06","5.45","4.59","5.21","6.32"
"19","LLVM","4*N","2.72","2.49","2.77","2.14","3.91","3.07","3.47","3.43","4.87","3.96","5.10","6.10"
"20","LLVM","5*N","2.37","2.22","2.31","2.03","3.48","2.69","3.04","3.28","4.23","3.57","4.62","6.22"
"21","Sqlite","N","4.53","4.61","4.46","4.17","4.73","4.72","4.65","4.39","5.50","5.12","5.42","5.42"
"22","Sqlite","2*N","4.52","4.22","4.17","4.30","4.63","4.35","4.32","4.45","5.39","4.88","4.85","4.68"
"23","Sqlite","3*N","4.28","4.02","4.11","4.11","4.38","4.15","4.26","4.33","4.98","4.64","4.84","4.49"
"24","Sqlite","4*N","3.92","3.83","3.80","4.01","4.06","3.95","3.93","4.35","4.62","4.40","4.55","4.50"
"25","Sqlite","5*N","3.83","3.75","3.65","3.90","4.02","3.87","3.79","4.36","4.42","4.41","4.38","4.51"
"26","x264","N","10.30","10.47","8.72","22.18","17.69","12.95","11.89","30.66","31.22","17.84","21.95","35.07"
"27","x264","2*N","6.55","5.89","5.79","15.88","10.56","7.69","8.28","29.73","18.62","9.54","20.31","36.74"
"28","x264","3*N","4.96","4.78","4.70","9.05","8.27","6.27","7.01","24.25","9.89","8.30","15.80","34.97"
"29","x264","4*N","3.36","3.82","4.01","6.79","7.26","5.21","5.80","21.68","9.01","7.03","10.43","34.56"
"30","x264","5*N","2.46","2.85","2.98","5.22","6.72","4.16","4.92","19.91","8.40","5.87","9.18","34.38"
