"","system","SamplingSize","cart_best","bagg_best","frst_best","esvr_best","cart_avg","bagg_avg","frst_avg","esvr_avg","cart_wrst","bagg_wrst","frst_wrst","esvr_wrst"
"1","Apache","N","21.86$\pm$7.88","22.10$\pm$7.56","19.80$\pm$6.39","31.81$\pm$8.42","24.70$\pm$8.32","23.76$\pm$8.44","23.35$\pm$8.38","33.35$\pm$8.72","27.52$\pm$8.55","25.95$\pm$9.33","30.33$\pm$11.64","34.30$\pm$8.87"
"2","Apache","2*N","13.21$\pm$4.55","10.32$\pm$3.17","14.84$\pm$5.22","21.93$\pm$8.38","20.00$\pm$7.51","14.58$\pm$6.16","19.99$\pm$7.30","23.80$\pm$8.84","29.01$\pm$10.11","19.90$\pm$9.76","29.65$\pm$10.85","25.04$\pm$9.18"
"3","Apache","3*N","8.72$\pm$2.51","7.39$\pm$2.34","7.88$\pm$2.26","19.44$\pm$7.58","15.22$\pm$8.06","10.81$\pm$4.19","13.21$\pm$4.21","22.41$\pm$8.31","20.62$\pm$11.72","17.72$\pm$8.61","22.74$\pm$8.31","24.39$\pm$8.80"
"4","Apache","4*N","8.02$\pm$2.41","6.61$\pm$2.16","6.71$\pm$2.54","19.55$\pm$7.05","12.86$\pm$7.01","8.00$\pm$2.74","10.72$\pm$3.88","22.71$\pm$8.06","19.18$\pm$13.04","11.85$\pm$4.89","23.47$\pm$8.63","24.83$\pm$8.73"
"5","Apache","5*N","7.33$\pm$1.87","6.20$\pm$2.26","6.38$\pm$2.08","17.10$\pm$7.08","10.00$\pm$3.94","7.29$\pm$2.58","9.40$\pm$3.11","20.69$\pm$8.61","15.51$\pm$9.17","9.43$\pm$3.32","15.66$\pm$6.59","23.43$\pm$9.59"
"6","Average","N","30.60$\pm$22.03","31.86$\pm$27.31","37.25$\pm$25.81","50.90$\pm$30.24","57.50$\pm$42.65","52.00$\pm$35.04","55.04$\pm$42.82","96.40$\pm$64.58","113.83$\pm$77.49","70.77$\pm$50.11","81.61$\pm$70.31","127.51$\pm$88.30"
"7","Average","2*N","10.19$\pm$11.06","14.87$\pm$12.20","11.91$\pm$7.97","33.25$\pm$18.84","27.43$\pm$25.50","22.29$\pm$23.01","30.77$\pm$28.14","80.26$\pm$51.82","41.40$\pm$36.98","34.52$\pm$32.83","53.05$\pm$48.52","118.63$\pm$78.11"
"8","Average","3*N","5.48$\pm$3.07","7.18$\pm$6.76","7.27$\pm$5.63","26.47$\pm$13.21","24.09$\pm$29.81","13.56$\pm$18.99","21.15$\pm$24.85","71.90$\pm$46.55","31.32$\pm$43.78","22.38$\pm$34.12","48.81$\pm$59.63","113.98$\pm$73.07"
"9","Average","4*N","4.32$\pm$2.41","4.38$\pm$2.33","5.01$\pm$2.87","25.00$\pm$12.33","16.42$\pm$13.17","8.19$\pm$8.29","12.20$\pm$10.25","63.60$\pm$39.74","25.23$\pm$21.60","17.40$\pm$25.74","32.36$\pm$29.58","104.80$\pm$64.86"
"10","Average","5*N","3.38$\pm$1.59","4.09$\pm$2.51","3.99$\pm$2.01","23.22$\pm$12.01","12.34$\pm$7.64","6.06$\pm$5.21","9.68$\pm$8.49","57.93$\pm$35.64","21.68$\pm$15.23","10.65$\pm$13.76","24.32$\pm$24.94","100.00$\pm$60.61"
"11","BerkeleyC","N","135.12$\pm$111.59","140.38$\pm$144.26","179.67$\pm$138.09","212.37$\pm$136.01","268.34$\pm$226.03","245.16$\pm$181.63","265.61$\pm$220.85","472.22$\pm$336.38","575.80$\pm$420.78","334.66$\pm$261.69","381.78$\pm$345.62","650.45$\pm$476.13"
"12","BerkeleyC","2*N","30.66$\pm$55.00","62.60$\pm$62.97","40.86$\pm$35.92","125.82$\pm$69.71","117.30$\pm$130.59","95.36$\pm$116.87","140.71$\pm$148.32","387.36$\pm$253.53","169.56$\pm$172.12","148.69$\pm$153.29","233.29$\pm$234.62","605.68$\pm$403.95"
"13","BerkeleyC","3*N","10.05$\pm$10.10","22.12$\pm$32.06","22.34$\pm$25.66","97.60$\pm$44.57","109.50$\pm$163.05","54.43$\pm$102.71","95.81$\pm$136.94","345.84$\pm$231.77","143.96$\pm$240.89","96.53$\pm$187.48","235.99$\pm$330.63","581.10$\pm$381.70"
"14","BerkeleyC","4*N","6.41$\pm$6.96","8.06$\pm$6.70","11.29$\pm$9.29","92.90$\pm$43.73","67.77$\pm$65.07","27.26$\pm$40.81","47.10$\pm$50.57","299.46$\pm$195.00","110.70$\pm$107.30","75.05$\pm$142.07","140.48$\pm$148.78","526.02$\pm$333.45"
"15","BerkeleyC","5*N","2.78$\pm$2.88","8.09$\pm$8.19","7.35$\pm$5.32","89.40$\pm$46.43","47.40$\pm$35.47","16.87$\pm$22.95","35.17$\pm$41.68","271.11$\pm$174.76","94.67$\pm$74.11","38.97$\pm$71.88","107.78$\pm$132.23","499.85$\pm$312.06"
"16","BerkeleyJ","N","6.69$\pm$4.96","8.72$\pm$5.14","6.08$\pm$3.71","30.82$\pm$22.90","23.80$\pm$10.96","20.08$\pm$12.23","19.59$\pm$18.94","32.40$\pm$23.12","36.96$\pm$15.86","35.05$\pm$19.87","44.19$\pm$50.03","33.09$\pm$23.18"
"17","BerkeleyJ","2*N","2.01$\pm$0.96","2.41$\pm$1.36","1.97$\pm$1.21","28.90$\pm$21.56","6.98$\pm$7.10","7.19$\pm$7.93","6.63$\pm$6.01","31.93$\pm$22.43","20.10$\pm$26.81","18.66$\pm$25.45","24.42$\pm$31.46","33.43$\pm$22.67"
"18","BerkeleyJ","3*N","1.76$\pm$0.87","1.50$\pm$0.86","1.67$\pm$0.95","26.13$\pm$19.22","2.69$\pm$1.13","1.86$\pm$1.01","2.81$\pm$1.51","30.49$\pm$20.76","2.98$\pm$1.66","2.50$\pm$1.22","8.28$\pm$7.96","32.59$\pm$21.16"
"19","BerkeleyJ","4*N","1.50$\pm$0.71","1.49$\pm$0.71","1.50$\pm$0.90","24.63$\pm$16.48","2.64$\pm$0.93","1.64$\pm$0.81","2.20$\pm$1.32","30.00$\pm$17.66","3.00$\pm$1.24","2.10$\pm$1.04","10.11$\pm$12.31","32.77$\pm$17.98"
"20","BerkeleyJ","5*N","1.54$\pm$0.72","1.40$\pm$0.83","1.25$\pm$0.67","21.65$\pm$12.54","2.39$\pm$0.88","1.49$\pm$0.94","1.78$\pm$0.98","28.22$\pm$14.04","2.85$\pm$1.03","1.65$\pm$1.08","4.26$\pm$3.49","31.62$\pm$14.51"
"21","LLVM","N","5.08$\pm$1.62","4.87$\pm$1.78","4.74$\pm$1.78","4.04$\pm$1.87","5.72$\pm$1.97","5.32$\pm$1.93","5.11$\pm$2.19","5.37$\pm$2.52","5.96$\pm$2.34","6.02$\pm$2.06","5.98$\pm$2.43","6.76$\pm$2.89"
"22","LLVM","2*N","4.18$\pm$1.88","3.78$\pm$1.49","3.80$\pm$1.40","2.64$\pm$1.79","5.13$\pm$2.15","4.56$\pm$1.91","4.71$\pm$1.89","4.30$\pm$2.22","5.72$\pm$2.34","5.47$\pm$2.31","5.76$\pm$2.40","6.23$\pm$2.87"
"23","LLVM","3*N","3.13$\pm$1.05","3.26$\pm$1.19","2.91$\pm$1.13","2.47$\pm$1.61","4.48$\pm$1.50","3.83$\pm$1.39","3.81$\pm$1.64","4.06$\pm$2.04","5.45$\pm$1.91","4.59$\pm$1.69","5.21$\pm$2.17","6.32$\pm$2.87"
"24","LLVM","4*N","2.72$\pm$1.05","2.49$\pm$0.90","2.77$\pm$1.01","2.14$\pm$1.58","3.91$\pm$1.51","3.07$\pm$1.16","3.47$\pm$1.42","3.43$\pm$1.98","4.87$\pm$1.83","3.96$\pm$1.46","5.10$\pm$2.19","6.10$\pm$2.75"
"25","LLVM","5*N","2.37$\pm$1.03","2.22$\pm$0.94","2.31$\pm$0.94","2.03$\pm$1.48","3.48$\pm$1.26","2.69$\pm$1.29","3.04$\pm$1.41","3.28$\pm$1.85","4.23$\pm$1.57","3.57$\pm$1.85","4.62$\pm$2.29","6.22$\pm$2.71"
"26","Sqlite","N","4.53$\pm$1.77","4.61$\pm$1.84","4.46$\pm$1.78","4.17$\pm$1.86","4.73$\pm$2.01","4.72$\pm$2.01","4.65$\pm$2.04","4.39$\pm$2.32","5.50$\pm$2.26","5.12$\pm$2.17","5.42$\pm$2.21","5.42$\pm$2.59"
"27","Sqlite","2*N","4.52$\pm$1.64","4.22$\pm$1.65","4.17$\pm$1.61","4.30$\pm$1.66","4.63$\pm$1.86","4.35$\pm$1.79","4.32$\pm$1.81","4.45$\pm$2.28","5.39$\pm$2.10","4.88$\pm$1.88","4.85$\pm$1.95","4.68$\pm$2.50"
"28","Sqlite","3*N","4.28$\pm$1.59","4.02$\pm$1.62","4.11$\pm$1.57","4.11$\pm$1.59","4.38$\pm$1.74","4.15$\pm$1.72","4.26$\pm$1.75","4.33$\pm$2.23","4.98$\pm$2.07","4.64$\pm$1.82","4.84$\pm$1.89","4.49$\pm$2.47"
"29","Sqlite","4*N","3.92$\pm$1.60","3.83$\pm$1.54","3.80$\pm$1.56","4.01$\pm$1.52","4.06$\pm$1.76","3.95$\pm$1.66","3.93$\pm$1.67","4.35$\pm$2.23","4.62$\pm$2.03","4.40$\pm$1.75","4.55$\pm$1.76","4.50$\pm$2.45"
"30","Sqlite","5*N","3.83$\pm$1.67","3.75$\pm$1.57","3.65$\pm$1.57","3.90$\pm$1.54","4.02$\pm$1.77","3.87$\pm$1.64","3.79$\pm$1.67","4.36$\pm$2.32","4.42$\pm$2.06","4.41$\pm$1.69","4.38$\pm$1.75","4.51$\pm$2.48"
"31","x264","N","10.30$\pm$4.35","10.47$\pm$3.29","8.72$\pm$3.09","22.18$\pm$10.39","17.69$\pm$6.61","12.95$\pm$4.03","11.89$\pm$4.52","30.66$\pm$14.40","31.22$\pm$15.16","17.84$\pm$5.53","21.95$\pm$9.95","35.07$\pm$16.13"
"32","x264","2*N","6.55$\pm$2.35","5.89$\pm$2.57","5.79$\pm$2.46","15.88$\pm$9.93","10.56$\pm$3.83","7.69$\pm$3.42","8.28$\pm$3.54","29.73$\pm$21.64","18.62$\pm$8.44","9.54$\pm$4.28","20.31$\pm$9.82","36.74$\pm$27.47"
"33","x264","3*N","4.96$\pm$2.31","4.78$\pm$2.50","4.70$\pm$2.20","9.05$\pm$4.70","8.27$\pm$3.39","6.27$\pm$2.94","7.01$\pm$3.04","24.25$\pm$14.19","9.89$\pm$4.40","8.30$\pm$3.91","15.80$\pm$6.83","34.97$\pm$21.41"
